date,open,high,low,close,volume,value,sma5,sma12,sma20,sma26,sma50,sma60,sma120,sma160,sma200,sma240,ema12,ema26,ema50,vwma5,vwma10,vwma20,sma12_slope,sma20_slope,sma26_slope,sma50_slope,sma60_slope,sma120_slope,sma160_slope,sma200_slope,sma240_slope,volume_ma5,volume_ma20,volume_ma50,obv,obv_signal,obv_daily_diff,obv_diff_over_1y_avg,bb_upper,bb_middle,bb_lower,bb_width,rsi,rsi_signal,price_change_10d,total_volatility_10d,efficiency_ratio,stoch_fast_k,stoch_slow_k,adx,di_plus,di_minus,momentum_50,cdl_doji,cdl_hammer,cdl_inverted_hammer,cdl_engulfing,macd,macd_signal,macd_histogram,macd_pct,macd_signal_pct,mfi,close_sma20_disparity,close_sma50_disparity,close_sma60_disparity,close_sma120_disparity,close_sma200_disparity,sma5_sma20_disparity,sma20_sma60_disparity,sma50_sma200_disparity,volume_vma20_disparity,atr,atr_pct
2004-02-11,2066,2145,2034,2034,68961,142688600,2065.2,2125.5,2076.2,2105.5,,,,,,,2103.490836,2143.367852,,2133.731147,2165.919412,2115.051177,0.001952912,-0.00042609,,,,,,,,108729.2,75236.7,,-516992,-458247.6667,-68961,,2275.577632,2076.2,1876.822368,0.19206014,42.91847984,44.3501043,0.000177588,0.005670142,3.131991051,18.82086168,25.17006803,0,18.49227087,18.32118391,,0,0,0,0,-39.87701609,,,-1.960521932,,44.37713513,-2.032559484,,,,,-0.529814083,,,-8.341274936,145.0676495,7.132136161
2004-02-12,2086,2086,1875,1979,89661,176863665,2039.8,2118.25,2078.4,2088.846154,,,,,,,2084.3384,2131.192456,,2045.570653,2156.3996,2114.499401,-0.000561451,-3.37E-05,,,,,,,,68701.2,76400.8,,-606653,-523892,-89661,,2272.395258,2078.4,1884.404742,0.1866775,40.14209778,42.19633193,0.000551792,0.005993607,9.206349206,20.11605416,20.15962198,0,16.63920302,24.03645632,,0,0,0,0,-46.85405597,,,-2.367562202,,42.93568279,-4.782525019,,,,,-1.857197844,,,17.35610098,149.7771031,7.568322543
2004-02-13,1977,1977,1899,1913,64598,124322615,2015.6,2105.833333,2075.8,2070.115385,,,,,,,2057.978646,2115.030052,,2012.194314,2141.415391,2110.674853,-0.003891503,0.000278794,,,,,,,,60275.4,77627.8,,-671251,-598298.6667,-64598,,2277.062615,2075.8,1874.537385,0.1939133,37.04516116,40.03524626,0.001725144,0.005657457,30.49327354,7.350096712,15.42900418,11.79326834,15.98515427,23.09163857,,0,0,0,0,-57.05140566,,,-2.982300348,,39.6861568,-7.842759418,,,,,-2.900086714,,,-16.78496621,144.7930243,7.568898292
2004-02-16,1986,2134,1947,1977,80650,161940710,1989.8,2098.416667,2076.3,2062.730769,,,,,,,2045.520393,2104.805603,,2006.990368,2120.884738,2109.180954,-0.004566403,1.69E-05,-0.007211133,,,,,,,68436.2,80076.25,,-590601,-622835,80650,,2276.525972,2076.3,1876.074028,0.192868056,41.73902736,39.64209543,0.002099348,0.005283253,39.73589436,19.72920696,15.73178594,11.13194141,21.74931169,20.67401142,,1,0,0,0,-59.28521063,,,-2.998746112,,44.33762756,-4.782545875,,,,,-4.166064634,,,0.716504582,150.2363797,7.599209901
2004-02-17,1986,2002,1909,1965,34343,66868250,1973.6,2080.083333,2072.45,2057.153846,,,,,,,2033.13264,2094.449633,,1996.15432,2103.517078,2110.221175,-0.006474413,-0.00100933,-0.005376134,,,,,,,67642.6,78648.05,,-624944,-628932,-34343,,2278.054937,2072.45,1866.845063,0.198417271,41.11995674,39.96804842,0.001420707,0.004604612,30.85399449,17.40812379,14.82914249,10.47582119,20.76411411,21.58840353,,0,0,0,0,-61.31699275,,,-3.120457646,,45.07403867,-5.184684793,,,,,-4.769717002,,,-56.33331023,146.1480669,7.437560657
2004-02-18,1951,1953,1891,1917,52559,101340705,1950.2,2047.5,2065,2048.807692,,,,,,,2015.26608,2081.305216,,1967.732333,2072.00625,2105.741908,-0.010143164,-0.001877934,-0.003705041,,,,,,,64362.2,76686.9,,-677503,-631016,-52559,,2281.50866,2065,1848.49134,0.209693618,38.65052011,40.50316807,0.002454525,0.004179669,58.72534143,8.123791103,15.08704062,10.01929992,19.98824934,21.69063301,,0,0,0,0,-66.03913552,,,-3.444920997,,40.83909901,-7.167070218,,,,,-5.559322034,,,-31.46287045,140.9946336,7.354962627
2004-02-19,1943,1943,1891,1927,38264,73203545,1939.8,2025.666667,2060.85,2046.230769,,,,,,,2001.686683,2069.8752,,1956.957718,2006.539218,2102.800892,-0.012584328,-0.002672548,-0.002854177,,,,,,,54082.8,76804.2,,-639239,-647228.6667,38264,,2284.481192,2060.85,1837.218808,0.217028112,39.4661386,39.74553848,0.001135297,0.00298729,38.00424628,10.05802708,11.86331399,9.595387304,19.4385899,21.09415951,,0,0,0,0,-68.18851648,,,-3.538584145,,33.34545015,-6.494892884,,,,,-5.873789941,,,-50.17980788,134.637874,6.98691614
2004-02-20,1967,1967,1915,1919,11041,21363385,1941,1993.583333,2058.45,2045.615385,,,,,,,1988.965655,2058.699259,,1963.901422,1991.985968,2105.348825,-0.015025187,-0.002431822,-0.002004249,,,,,,,43371.4,75014.05,,-650280,-655674,-11041,,2287.03388,2058.45,1829.86612,0.222093206,39.01921898,39.04529256,0.000729381,0.002581374,28.25552826,8.510638298,8.897485493,8.959227177,20.20699163,20.48743545,,0,0,0,0,-69.73360395,,,-3.63385117,,29.23538106,-6.774514805,,,,,-5.705749472,,,-85.28142395,128.7351687,6.708450689
2004-02-23,1873,1986,1873,1919,32753,62503450,1929.4,1978,2051.1,2043.846154,,,,,,,1978.201708,2048.351166,,1930.094788,1981.572181,2102.474685,-0.01207226,-0.002414452,-0.000861827,,,,,,,33792,75225.7,,-617527,-635682,32753,,2287.557946,2051.1,1814.642054,0.23056696,39.01921898,39.16819218,0.001186036,0.002124718,55.82089552,8.863198459,9.143954612,8.779355912,18.93261066,21.5394265,,0,0,0,0,-70.14945761,-61.23280076,-8.916656857,-3.655521501,-3.190870284,30.94811556,-6.44044659,,,,,-5.933401589,,,-56.46035863,127.6112281,6.64988161
2004-02-24,1961,2062,1851,1893,129251,252460095,1915,1966.25,2042.45,2041,,,,,,,1965.093753,2036.843672,,1928.942102,1966.697896,2090.418518,-0.010462523,-0.003240007,-0.000921072,,,,,,,52773.6,79822.5,,-746778,-671528.3333,-129251,,2288.555242,2042.45,1796.344758,0.240990224,37.42192931,38.48678909,0.000970393,0.001909075,50.83056478,7.763401109,8.379079289,8.463267615,20.85561887,19.11523982,,0,0,0,0,-71.74991894,-63.33622439,-8.413694551,-3.790275697,-3.345812171,31.0039817,-7.317192587,,,,,-6.240054836,,,61.92301669,133.567569,7.055867351
