date,open,high,low,close,volume,value,sma5,sma12,sma20,sma26,sma50,sma60,sma120,sma160,sma200,sma240,ema12,ema26,ema50,vwma5,vwma10,vwma20,sma12_slope,sma20_slope,sma26_slope,sma50_slope,sma60_slope,sma120_slope,sma160_slope,sma200_slope,sma240_slope,volume_ma5,volume_ma20,volume_ma50,obv,obv_signal,obv_daily_diff,obv_diff_over_1y_avg,bb_upper,bb_middle,bb_lower,bb_width,rsi,rsi_signal,price_change_10d,total_volatility_10d,efficiency_ratio,stoch_fast_k,stoch_slow_k,adx,di_plus,di_minus,momentum_50,cdl_doji,cdl_hammer,cdl_inverted_hammer,cdl_engulfing,macd,macd_signal,macd_histogram,macd_pct,macd_signal_pct,mfi,close_sma20_disparity,close_sma50_disparity,close_sma60_disparity,close_sma120_disparity,close_sma200_disparity,sma5_sma20_disparity,sma20_sma60_disparity,sma50_sma200_disparity,volume_vma20_disparity,atr,atr_pct
2017-10-27,28460,29180,27560,27660,974814,27623093600,28080,26011.66667,24763,24151.53846,,,,,,,26471.57947,24619.65363,,28285.3129,26870.20683,25613.09153,0.019522777,0.009532417,,,,,,,,1326364,1150622,,20655303,21754080.33,-974814,,29918.41308,24763,19607.58692,0.416380332,67.27415653,73.92758793,0.050816697,0.094043887,54.03508772,72,82.67995155,0,35.77312089,7.21948962,,0,0,0,0,1851.925841,,,6.69532119,,66.86668079,11.69890563,,,,,13.39498445,,,-15.27938802,1800.574511,6.509669238
2017-10-30,28000,28420,27420,28080,612564,17105419400,28396,26561.66667,24977,24470.76923,,,,,,,26719.02878,24875.97558,,28412.84491,27207.1471,25761.84793,0.019052707,0.007977208,,,,,,,,1333503,1134699.5,,21267867,21184429,612564,,30307.11482,24977,19646.88518,0.426801843,68.7212775,69.43289003,0.045207062,0.088434252,51.11940299,76.42105263,75.85964912,0,34.2753228,7.503385329,,1,0,0,0,1843.0532,,,6.563579772,,66.53929376,12.42342956,,,,,13.68859351,,,-46.01531066,1743.390617,6.208656045
2017-10-31,27980,29740,27960,29500,901134,26104871100,28620,27228.33333,25266,24774.61538,,,,,,,27146.87051,25218.49591,,28691.586,27783.1205,25960.04302,0.019416196,0.008180791,,,,,,,,962406,1135834.25,,22169001,21364057,901134,,30909.71651,25266,19622.28349,0.446743965,73.05891115,69.68478173,0.030193037,0.073420228,41.12359551,91.14470842,79.85525368,59.80552633,37.23844393,6.9459045,,0,1,0,0,1928.374598,,,6.536863045,,69.97433941,16.75769809,,,,,13.27475659,,,-20.66324818,1746.005573,5.918662961
2017-11-01,29660,29940,28960,29560,546304,16094573600,28628,27808.33333,25566,25080.76923,,,,,,,27518.1212,25540.08881,,28701.15422,28088.90536,26101.40659,0.020260111,0.009055029,0.010478471,,,,,,,876304,1137238.25,,22715305,22050724.33,546304,,31447.93302,25566,19684.06698,0.460137136,73.227852,71.66934688,0.019138756,0.062365946,30.68783069,91.79265659,86.45280588,60.4755885,36.52832226,6.652835276,,0,0,0,0,1978.032394,,,6.691584553,,70.45942608,15.62231088,,,,,11.97684425,,,-51.96222076,1691.29089,5.7215524
2017-11-02,29600,30380,29400,30160,720479,21610390300,28992,28168.33333,25909,25361.53846,,,,,,,27924.56409,25882.30445,,28882.37279,28390.01103,26286.18026,0.017757147,0.010300619,0.00984493,,,,,,,751059,1147339,,23435784,22773363.33,720479,,32018.05525,25909,19799.94475,0.471577849,74.92143648,73.73606654,0.029368091,0.062035968,47.34042553,97.52252252,93.48662918,61.19708342,36.89209833,6.363677897,,0,1,0,0,2042.259642,,,6.771417911,,70.18178064,16.40742599,,,,,11.89934,,,-37.2043485,1640.484397,5.439271875
2017-11-03,29360,29880,28980,29740,712039,20955145000,29408,28376.66667,26263,25597.69231,,,,,,,28203.86192,26168.05968,,29224.15564,28609.17866,26524.95044,0.012870806,0.011174625,0.009225251,,,,,,,698504,1141281,,22723745,22958278,-712039,,32398.42207,26263,20127.57793,0.46722934,71.51123042,73.22017296,0.026893252,0.064510807,41.68797954,90.93484419,93.41667443,61.32704167,34.92380561,7.923152641,,0,1,0,0,2035.802248,,,6.845333719,,65.94747612,13.23915775,,,,,11.97502189,,,-37.61054464,1607.592655,5.40548976
2017-11-06,29860,30620,29020,29240,854119,25439568600,29640,28596.66667,26588,25828.46154,,,,,,,28363.26778,26395.61081,,29521.41829,28810.81254,26719.7736,0.008986928,0.011650707,0.008523624,,,,,,,746815,1160071.75,,21869626,22676385,-854119,,32630.44189,26588,20545.55811,0.454523988,67.56826738,71.33364476,0.022603531,0.068470549,33.01204819,70.38626609,86.28121094,61.6526367,35.74242405,7.350494371,,0,0,0,1,1967.656971,,,6.729333005,,61.9061822,9.974424552,,,,,11.47886264,,,-26.37360577,1607.050322,5.496068134
2017-11-07,29300,29340,27820,28080,1006874,28453867000,29356,28730,26907,25993.07692,,,,,,,28319.68812,26520.38038,,29337.57876,28978.28701,26923.06388,0.006667458,0.011847104,0.007496895,,,,,,,767963,1177120.5,,20862752,21818707.67,-1006874,,32543.55604,26907,21270.44396,0.418965774,59.38713371,66.15554383,0.002474839,0.062530935,3.957783641,45.25862069,68.85991033,60.54132263,33.28144468,12.28016645,,0,0,0,0,1799.307742,,,6.407791106,,49.11820663,4.359460363,,,,,9.101720742,,,-14.4629628,1600.832442,5.700970235
2017-11-08,28320,28620,27440,27980,948294,26456302500,29040,28853.33333,27224,26156.92308,,,,,,,28267.42841,26628.50035,,29022.33058,28859.14055,27104.9224,0.005678659,0.011448654,0.006662268,,,,,,,848361,1194135.25,,19914458,20882278.67,-948294,,32328,27224,22120,0.374963268,58.72699503,61.89413204,0.012704174,0.053951493,23.54740061,43.10344828,52.91611169,59.10141201,31.46992609,13.36459322,,0,0,0,0,1638.928059,1862.042553,-223.1144933,5.857498425,6.654905478,50.09185652,2.776961505,,,,,6.670584778,,,-20.5873874,1570.772982,5.613913445
2017-11-09,27980,27980,26840,27760,1065029,29086990300,28560,28801.66667,27538,26318.46154,,,,,,,28189.3625,26712.31514,,28524.57013,28685.64792,27202.20456,0.002461575,0.011407301,0.005883766,,,,,,,917271,1229479,,18849429,19875546.33,-1065029,,31910.09149,27538,23165.90851,0.317531519,57.22004661,58.44472512,0.004784689,0.046032008,10.39426523,37.00440529,41.78882475,57.13930173,29.78329208,15.46911146,,0,0,0,0,1477.047361,1785.043514,-307.9961532,5.320775797,6.430272026,48.86701333,0.806158762,,,,,3.711235384,,,-13.37558429,1540.003483,5.54756298
