date,open,high,low,close,volume,value,sma5,sma12,sma20,sma26,sma50,sma60,sma120,sma160,sma200,sma240,ema12,ema26,ema50,vwma5,vwma10,vwma20,sma12_slope,sma20_slope,sma26_slope,sma50_slope,sma60_slope,sma120_slope,sma160_slope,sma200_slope,sma240_slope,volume_ma5,volume_ma20,volume_ma50,obv,obv_signal,obv_daily_diff,obv_diff_over_1y_avg,bb_upper,bb_middle,bb_lower,bb_width,rsi,rsi_signal,price_change_10d,total_volatility_10d,efficiency_ratio,stoch_fast_k,stoch_slow_k,adx,di_plus,di_minus,momentum_50,cdl_doji,cdl_hammer,cdl_inverted_hammer,cdl_engulfing,macd,macd_signal,macd_histogram,macd_pct,macd_signal_pct,mfi,close_sma20_disparity,close_sma50_disparity,close_sma60_disparity,close_sma120_disparity,close_sma200_disparity,sma5_sma20_disparity,sma20_sma60_disparity,sma50_sma200_disparity,volume_vma20_disparity,atr,atr_pct
2004-02-11,10950,11000,10650,10750,1237028,13387621000,10770,10866.66667,11295,11394.23077,,,,,,,10916.9793,11169.32496,,10723.14103,10638.82867,11295.96252,-0.007881137,-0.004186047,,,,,,,,1260207.2,1621714.5,,2762668,3880331.667,-1237028,,12623.8717,11295,9966.128298,0.235302648,41.31598715,42.92702176,0.006722025,0.021747726,30.90909091,37.5,39.31694999,0,21.31596358,23.20566031,,0,0,0,0,-252.3456595,,,-2.347401484,,28.82768595,-4.825143869,,,,,-4.648074369,,,-23.72097555,440.8804641,4.10121362
2004-02-12,10750,10850,10350,10550,1330142,13967228100,10790,10775,11235,11361.53846,,,,,,,10860.52095,11123.44904,,10780.43973,10576.32244,11252.96948,-0.008557135,-0.00521327,,,,,,,,1247456,1633904.1,,1432526,2731630,-1330142,,12584.48138,11235,9885.518618,0.240228105,38.22697549,40.82314936,0.007512851,0.022538553,33.33333333,29.61165049,35.50186329,0,19.58398914,26.19529084,,0,0,0,0,-262.9280904,,,-2.492209387,,29.30671437,-6.097018247,,,,,-3.960836671,,,-18.59118292,445.1032881,4.218988513
2004-02-13,10350,10500,10200,10350,834544,8626276400,10690,10670.83333,11172.5,11303.84615,,,,,,,10781.97926,11066.15651,,10732.76675,10509.75972,11214.03284,-0.009125067,-0.005636071,,,,,,,,1140006.4,1612403.9,,597982,1597725.333,-834544,,12563.7135,11172.5,9781.286501,0.24904247,35.37842093,38.30712786,0.004744958,0.01977066,24,21.46596859,29.52587302,17.15975128,18.4536678,27.15695636,,1,0,0,0,-284.1772531,,,-2.745673943,,31.18033628,-7.361825912,,,,,-4.318639517,,,-48.24224873,438.3101961,4.234881122
2004-02-16,10350,10600,10200,10350,1258349,13073021650,10570,10575,11080,11246.15385,,,,,,,10715.52091,11013.10788,,10593.44503,10469.65549,11123.01907,-0.009393451,-0.006924316,-0.004768983,,,,,,,1107799.6,1561052.25,,1856331,1295613,1258349,,12431.07365,11080,9728.926353,0.24387611,35.37842093,36.32793912,0.001977066,0.017002768,11.62790698,21.46596859,24.18119589,16.97826268,18.88784943,25.35578721,,1,0,0,0,-297.5869703,,,-2.875236428,,37.42202972,-6.588447653,,,,,-4.602888087,,,-19.3909749,435.5737535,4.208442063
2004-02-17,10600,10800,10400,10550,1137489,12102220450,10510,10541.66667,10995,11207.69231,,,,,,,10690.05616,10978.8036,,10552.56621,10558.64326,10996.80924,-0.007372301,-0.007582938,-0.004860858,,,,,,,1159510.4,1483064.15,,2993820,1816044.333,1137489,,12251.54288,10995,9738.457124,0.228566235,40.51889311,37.09191166,0.004349545,0.013839462,31.42857143,34.65909091,25.86367603,16.19824296,20.78869697,23.46987535,,0,0,0,0,-288.7474386,,,-2.736942546,,40.89671194,-4.047294225,,,,,-4.411095953,,,-23.30142968,436.6041997,4.138428433
2004-02-18,10550,10600,10300,10400,1180014,12322922100,10440,10525,10910,11150,,,,,,,10645.43213,10935.92926,,10474.73744,10604.72044,10919.42563,-0.004674145,-0.008413462,-0.004930966,,,,,,,1148107.6,1473044.45,,1813806,2221319,-1180014,,12083.28598,10910,9736.714016,0.215084507,38.07273,37.99001468,0.00118624,0.013048636,9.090909091,30.46357616,28.86287855,15.73337275,19.73486382,23.9698797,,0,0,0,0,-290.4971224,,,-2.793241561,,41.00936902,-4.674610449,,,,,-4.307974335,,,-19.89284505,426.8467569,4.104295739
2004-02-19,10600,10950,10500,10950,1837212,19728190900,10520,10604.16667,10865,11117.30769,,,,,,,10692.28873,10936.97153,,10547.26573,10663.75629,10855.17144,0.000887874,-0.006544901,-0.003922257,,,,,,,1249521.6,1485500.5,,3651018,2819548,1837212,,11956.83332,10865,9773.166679,0.200981743,49.99363529,42.8617528,0.003954132,0.015816528,25,80.15873016,48.42713241,14.91397595,23.7290073,21.78910822,,0,1,0,0,-244.6828049,,,-2.234546163,,49.67864733,0.782328578,,,,,-3.17533364,,,23.67629631,435.6434171,3.978478695
2004-02-20,10750,10850,10550,10850,877500,9374046000,10620,10654.16667,10810,11082.69231,,,,,,,10716.552,10930.5292,,10601.71653,10664.01456,10797.11507,0.003456221,-0.005683564,-0.003840246,,,,,,,1258112.8,1455291.5,,2773518,2746114,-877500,,11781.90535,10810,9838.094655,0.179815975,48.17772018,45.41469515,0,0.013444049,0,78.44827586,63.02352739,14.1531075,22.15062475,20.33976196,,0,1,0,0,-213.9771965,,,-1.97214006,,51.79447822,0.370027752,,,,,-1.757631822,,,-39.70280181,433.0974587,3.991681647
2004-02-23,10950,10950,10600,10800,839189,9039387200,10710,10683.33333,10760,11051.92308,,,,,,,10729.39015,10920.86037,,10674.47819,10635.14193,10729.20541,0.004886831,-0.00462963,-0.003027066,,,,,,,1174280.8,1405685.9,,1934329,2786288.333,-839189,,11619.41841,10760,9900.581592,0.159743199,47.25351243,48.47495596,0.00118624,0.013048636,9.090909091,74.13793103,77.58164569,13.7231503,22.52933978,19.14007206,,0,0,0,0,-191.4702134,-245.0172005,53.5469871,-1.772872346,-2.268677782,63.57460741,0.371747212,,,,,-0.464684015,,,-40.30039001,427.161926,3.955203018
2004-02-24,10850,11050,10500,10500,1254950,13548167500,10700,10654.16667,10702.5,10986.53846,,,,,,,10694.09936,10889.68553,,10693.64527,10624.25071,10693.26294,0.001587302,-0.00515873,-0.004151404,,,,,,,1197773,1416276.15,,679379,1795742,-1254950,,11464.3891,10702.5,9940.6109,0.142375912,42.04222542,45.82448601,0.002767892,0.014630289,18.91891892,40,64.1954023,13.32390432,20.48463464,17.40296817,,0,0,0,0,-195.5861643,-235.1309932,39.54482893,-1.862725374,-2.239342793,54.98891635,-1.892081289,,,,,-0.023359028,,,-11.39086823,435.9360741,4.151772134
