date,open,high,low,close,volume,value,sma5,sma12,sma20,sma26,sma50,sma60,sma120,sma160,sma200,sma240,ema12,ema26,ema50,vwma5,vwma10,vwma20,sma12_slope,sma20_slope,sma26_slope,sma50_slope,sma60_slope,sma120_slope,sma160_slope,sma200_slope,sma240_slope,volume_ma5,volume_ma20,volume_ma50,obv,obv_signal,obv_daily_diff,obv_diff_over_1y_avg,bb_upper,bb_middle,bb_lower,bb_width,rsi,rsi_signal,price_change_10d,total_volatility_10d,efficiency_ratio,stoch_fast_k,stoch_slow_k,adx,di_plus,di_minus,momentum_50,cdl_doji,cdl_hammer,cdl_inverted_hammer,cdl_engulfing,macd,macd_signal,macd_histogram,macd_pct,macd_signal_pct,mfi,close_sma20_disparity,close_sma50_disparity,close_sma60_disparity,close_sma120_disparity,close_sma200_disparity,sma5_sma20_disparity,sma20_sma60_disparity,sma50_sma200_disparity,volume_vma20_disparity,atr,atr_pct
2004-02-11,805,820,770,790,72370,57344195,807,830.4166667,885.75,934.0384615,,,,,,,839.2251408,887.6896846,,805.5621086,820.0181137,949.5817515,-0.009142053,-0.02035865,,,,,,,,48120,96764.45,,-522580,-487083.3333,-72370,,1052.851017,885.75,718.6489826,0.377309664,27.68387654,29.35292399,0.001572327,0.002096436,75,12.12121212,11.32172792,0,17.99024052,23.98677843,,0,0,0,0,-48.46454374,,,-6.134752372,,23.73986307,-10.81004798,,,,,-8.890770533,,,-25.21013657,59.01778948,7.470606263
2004-02-12,800,840,790,820,56888,46123860,809,826.25,872.5,929.0384615,,,,,,,836.2674269,882.6756339,,806.2612521,817.8726121,931.0727952,-0.007791328,-0.018902439,,,,,,,,51353.2,88665.65,,-465692,-479494,56888,,1014.433083,872.5,730.5669172,0.325348041,36.22751443,31.36627956,0.000655136,0.002751572,23.80952381,35.71428571,20.38961039,0,19.30335909,22.55570944,,0,0,0,0,-46.408207,,,-5.659537439,,34.57266081,-6.017191977,,,,,-7.277936963,,,-35.83986583,58.37366166,7.118739226
2004-02-13,830,835,815,830,13960,11495240,812,824.5833333,861.75,920.1923077,,,,,,,835.3032073,878.7737351,,807.103054,815.7220574,922.999486,-0.005354752,-0.015863454,,,,,,,,44885.2,84119.05,,-451732,-480001.3333,13960,,980.4628889,861.75,743.0371111,0.275515843,38.82208676,34.24449258,0.000393082,0.003013627,13.04347826,42.85714286,30.23088023,7.435932641,18.81969277,21.99055199,,1,0,0,0,-43.47052772,,,-5.237412978,,38.12761366,-3.684363214,,,,,-5.77313606,,,-83.40447259,55.63268582,6.702733232
2004-02-16,830,840,800,810,23245,18885520,812,821.6666667,852.25,905.7692308,,,,,,,831.4104062,873.6793843,,807.2313434,813.4077667,894.9043647,-0.003600823,-0.013786008,-0.011633428,,,,,,,40942.6,68460.6,,-474977,-464133.6667,-23245,,954.4495597,852.25,750.0504403,0.239834696,35.6942414,36.9146142,0.001048218,0.003406709,30.76923077,38.0952381,38.88888889,7.771032071,17.85605638,22.78469186,,0,0,0,0,-42.2689781,,,-5.218392358,,30.3678941,-4.957465532,,,,,-4.722792608,,,-66.04616378,54.51606541,6.730378445
2004-02-17,840,840,790,820,24493,19587570,814,819.5833333,842.75,894.6153846,,,,,,,829.6549591,869.7031336,,808.5546758,810.8500651,874.5796893,-0.002710027,-0.012093496,-0.013993121,,,,,,,38191.2,59812.5,,-450484,-459064.3333,24493,,915.6523319,842.75,769.8476681,0.173010577,38.3680304,37.62811952,0.000655136,0.003537736,18.51851852,55.55555556,45.5026455,8.288117604,16.70463982,22.60512588,,0,0,0,0,-40.04817452,,,-4.883923722,,36.90472158,-2.699495699,,,,,-3.411450608,,,-59.05036573,54.19348931,6.608962111
2004-02-18,810,820,800,810,21457,17258880,818,816.25,836.25,880.9615385,,,,,,,826.6311192,865.2806793,,816.6420552,809.6385502,850.4669868,-0.003429355,-0.010493827,-0.016144349,,,,,,,28008.6,49017.45,,-471941,-465800.6667,-21457,,895.1460949,836.25,777.3539051,0.140857626,36.72363007,36.92863396,0.000393082,0.003275681,12,44.44444444,46.03174603,8.768268456,16.25316904,21.99418461,,1,0,0,0,-38.64956004,,,-4.771550622,,38.08608654,-3.139013453,,,,,-2.182361734,,,-56.22579306,51.75109721,6.389024347
2004-02-19,810,820,810,815,14569,11806010,817,813.75,832.5,870,,,,,,,824.8417163,861.5561845,,816.3829254,809.0515435,841.1190704,-0.0032379,-0.00807771,-0.014629542,,,,,,,19544.8,42870.85,,-457372,-459932.3333,14569,,886.5832691,832.5,778.4167309,0.129929776,38.15096427,37.74754158,0.000131027,0.003013627,4.347826087,50,50,9.214122819,16.02003235,21.67869837,,0,0,0,0,-36.71446824,,,-4.504842729,,34.68244346,-2.102102102,,,,,-1.861861862,,,-66.01653571,48.76887598,5.983911164
2004-02-20,800,825,800,825,8879,7239155,816,813.75,828.75,860,,,,,,,824.8660676,858.848319,,814.8605039,809.3696693,831.8740949,-0.002356902,-0.005656566,-0.013986014,,,,,,,18528.6,37862.9,,-448493,-459268.6667,8879,,873.1205984,828.75,784.3794016,0.107078367,41.0166479,38.63041408,0.000262055,0.003144654,8.333333333,64.70588235,53.05010893,9.867092186,15.42436402,22.35993415,,0,1,0,0,-33.98225138,,,-4.119060773,,31.57587538,-0.452488688,,,,,-1.538461538,,,-76.54960397,47.07109913,5.705587773
2004-02-23,810,825,805,820,1634,1324090,818,814.5833333,825.75,851.3461538,,,,,,,824.1174418,855.9706657,,814.3109913,809.055063,829.4261215,-0.000677507,-0.004268293,-0.012038774,,,,,,,14206.4,36132.5,,-450127,-451997.3333,-1634,,863.4693584,825.75,788.0306416,0.091357816,40.01824006,39.72861741,0.000262055,0.003144654,8.333333333,66.66666667,60.45751634,10.47342088,14.94559183,21.6658819,,0,0,0,0,-31.85322391,-38.87246816,7.019244256,-3.884539501,-4.740544898,34.45876246,-0.696336664,,,,,-0.938540721,,,-95.47775548,45.13744919,5.504566974
2004-02-24,830,875,805,835,50710,42693820,821,816.25,824,845,,,,,,,825.7916816,854.4172831,,826.2440231,814.5235914,825.9264579,0.000998004,-0.003393214,-0.00998004,,,,,,,19449.8,35835.05,,-399417,-432679,50710,,856.1869539,824,791.8130461,0.078123674,44.39140333,41.80876376,0.000655136,0.003537736,18.51851852,61.9047619,64.42577031,9.985284796,20.86175312,19.39654602,,1,0,0,0,-28.62560154,-36.82309484,8.197493297,-3.428215753,-4.409951478,44.16680369,1.334951456,,,,,-0.36407767,,,41.50949978,46.91334568,5.618364752
2004-02-25,845,855,825,835,36482,30759515,826,818.3333333,823.25,838.2692308,,,,,,,827.2083459,852.9789658,,833.2767307,824.04402,821.5767225,0.001829674,-0.002195609,-0.008674958,,,,,,,22454.8,32586.9,,-362935,-404159.6667,36482,,853.6268004,823.25,792.8731996,0.073797268,44.39140333,42.93368224,0.001179245,0.003013627,39.13043478,61.9047619,63.49206349,9.532015572,19.89974695,18.50210552,,0,0,0,0,-25.7706199,-34.61259985,8.841979952,-3.086301784,-4.145221539,48.80674311,1.427269967,,,,,0.334041907,,,11.95296269,45.70524956,5.473682582
