date,open,high,low,close,volume,value,sma5,sma12,sma20,sma26,sma50,sma60,sma120,sma160,sma200,sma240,ema12,ema26,ema50,vwma5,vwma10,vwma20,sma12_slope,sma20_slope,sma26_slope,sma50_slope,sma60_slope,sma120_slope,sma160_slope,sma200_slope,sma240_slope,volume_ma5,volume_ma20,volume_ma50,obv,obv_signal,obv_daily_diff,obv_diff_over_1y_avg,bb_upper,bb_middle,bb_lower,bb_width,rsi,rsi_signal,price_change_10d,total_volatility_10d,efficiency_ratio,stoch_fast_k,stoch_slow_k,adx,di_plus,di_minus,momentum_50,cdl_doji,cdl_hammer,cdl_inverted_hammer,cdl_engulfing,macd,macd_signal,macd_histogram,macd_pct,macd_signal_pct,mfi,close_sma20_disparity,close_sma50_disparity,close_sma60_disparity,close_sma120_disparity,close_sma200_disparity,sma5_sma20_disparity,sma20_sma60_disparity,sma50_sma200_disparity,volume_vma20_disparity,atr,atr_pct
2004-02-11,47300,48300,46750,47500,1639072,77905300500,47270,48695.83333,50352.5,50878.84615,,,,,,,48579.87311,50133.26823,,46913.00974,47615.50504,49670.36678,-0.009707602,-0.003859649,,,,,,,,2137911,1517318.15,,570138,-83266,1639072,,56006.65555,50352.5,44698.34445,0.224582913,37.45447535,39.02619968,0.02223074,0.046761211,47.54098361,30.92783505,35.73883162,0,19.61724237,27.03460643,,0,0,0,0,-1553.39512,,,-3.270305516,,28.21907682,-5.665061318,,,,,-6.121841021,,,8.024279549,1790.93076,3.770380546
2004-02-12,47900,48000,47000,47650,1147401,54368132650,47660,48291.66667,50140,50661.53846,,,,,,,48436.81571,49949.32243,,47476.95258,47352.63577,49454.49779,-0.009822782,-0.004249738,,,,,,,,1794967.6,1491125.15,,1717539,406247.6667,1147401,,55864.56112,50140,44415.43888,0.228343084,38.31158007,37.74017692,0.013606746,0.039287083,34.63414634,32.4742268,31.44329897,0,18.80136456,25.9102417,,0,0,0,0,-1512.506727,,,-3.174200895,,33.41821137,-4.966094934,,,,,-4.946150778,,,-23.05132805,1734.435705,3.639949014
2004-02-13,47100,47750,46650,46850,1334137,62762439450,47680,47754.16667,49872.5,50405.76923,,,,,,,48192.69021,49719.74299,,47780.08094,47123.87551,49247.19423,-0.010257322,-0.004731412,,,,,,,,1519735.8,1495719.95,,383402,890359.6667,-1334137,,55686.31759,49872.5,44058.68241,0.233147229,35.51616009,37.09407184,0.010923726,0.036604063,29.84293194,24.73684211,29.37963465,22.17630694,17.91855406,26.18764665,,0,0,0,0,-1527.05278,,,-3.259450972,,27.39628322,-6.060454158,,,,,-4.396210336,,,-10.80302165,1689.118869,3.605376455
2004-02-16,47500,48700,47250,48300,1421843,68405017400,47560,47512.5,49607.5,50182.69231,,,,,,,48209.19941,49614.57685,,47616.24954,47015.91968,48976.89241,-0.008166552,-0.005141477,-0.004804374,,,,,,,1372077,1486120.15,,1805245,1302062,1421843,,55196.35274,49607.5,44018.64726,0.225322895,43.55519115,39.12764377,0.003832886,0.040628593,9.433962264,43.18181818,33.4642957,21.16726815,20.53895265,24.13510909,,0,0,0,0,-1405.377435,,,-2.90968413,,33.38318307,-2.635690168,,,,,-4.127400091,,,-4.325165095,1700.610379,3.520932461
2004-02-17,49000,49800,48900,49800,1762890,87137825500,48020,47520.83333,49492.5,50098.07692,,,,,,,48453.93796,49628.31189,,48031.66373,47250.47503,48864.14517,-0.005159527,-0.004334003,-0.003771496,,,,,,,1461068.6,1513872.55,,3568135,1918927.333,1762890,,54964.91035,49492.5,44020.08965,0.221140995,50.43861051,43.16998725,0.01379839,0.034495975,40,65.43209877,44.45025302,19.85981199,23.92066863,22.58914751,,0,1,0,0,-1174.373931,,,-2.358180584,,38.45443987,0.621306259,,,,,-2.975198262,,,16.44903661,1686.281066,3.386106558
2004-02-18,50300,50500,49150,49800,1385750,69082679000,48480,47562.5,49362.5,50025,,,,,,,48661.02443,49641.02953,,48502.1225,47544.65918,48812.15105,-0.001282909,-0.003413655,-0.002548656,,,,,,,1410404.2,1544005.15,,4953885,3442421.667,1385750,,54673.60864,49362.5,44051.39136,0.215187993,50.43861051,48.14413739,0.015331545,0.032962821,46.51162791,71.62162162,60.07851286,19.09489272,25.55337193,21.26871023,,0,0,0,0,-980.0051012,,,-1.967881729,,44.19656962,0.886300329,,,,,-1.787794378,,,-10.24965169,1662.26099,3.337873473
2004-02-19,49800,49800,48600,48800,1020100,50123207500,48710,47779.16667,49127.5,49932.69231,,,,,,,48682.40529,49578.73105,,48743.05033,48028.37498,48642.49305,0.001821494,-0.003278689,-0.00170765,,,,,,,1384944,1536628.8,,3933785,4151935,-1020100,,54090.00693,49127.5,44164.99307,0.202025624,46.0926113,48.98994411,0.011881947,0.036412419,32.63157895,67.1875,68.0804068,17.97973595,24.19926703,22.5704201,,0,0,0,0,-896.3257605,,,-1.836733116,,44.70745274,-0.666632741,,,,,-0.849829525,,,-33.61441618,1629.242348,3.338611368
2004-02-20,48500,48500,47700,48350,709240,34055762500,49010,47991.66667,48870,49796.15385,,,,,,,48631.26601,49487.71393,,49031.52132,48347.32573,48482.77373,0.003246007,-0.004291624,-0.00208151,,,,,,,1259964.6,1522313.55,,3224545,4037405,-709240,,53415.15126,48870,44324.84874,0.186009874,44.24509263,46.92543815,0.006132618,0.034112687,17.97752809,64.16666667,67.6585961,17.06642585,22.99628827,25.51570761,,0,0,0,0,-856.4479208,,,-1.771350405,,45.85124039,-1.064047473,,,,,0.28647432,,,-53.41038645,1591.439323,3.291498082
2004-02-23,47850,49750,47850,49500,725302,35619150500,49250,48308.33333,48670,49692.30769,,,,,,,48764.91739,49488.62401,,49272.3603,48360.78609,48300.35027,0.005022447,-0.0046633,-0.002240352,,,,,,,1120656.4,1500057.9,,3949847,3702725.667,725302,,52706.13677,48670,44633.86323,0.165857274,49.78452319,46.70740904,0.002299732,0.030279801,7.594936709,83.33333333,71.5625,16.31369976,26.61843802,23.3559779,,0,1,0,1,-723.7066171,-1089.279868,365.5732509,-1.46203357,-2.20056539,53.05308539,1.705362646,,,,,1.191699199,,,-51.64839971,1613.479371,3.259554285
2004-02-24,49100,49750,48250,48650,763039,37341961850,49020,48466.66667,48477.5,49501.92308,,,,,,,48747.2378,49426.50371,,49120.70244,48452.64028,48168.72273,0.004710517,-0.00445358,-0.002951485,,,,,,,920686.2,1490714.7,,3186808,3453733.333,-763039,,52111.84657,48477.5,44843.15343,0.149939521,46.13591732,46.72184438,0.004407819,0.028171713,15.6462585,69.16666667,72.22222222,15.61473982,24.83147085,21.78802844,,0,0,0,0,-679.2659191,-1007.277078,328.0111591,-1.39623005,-2.070456481,54.50699347,0.355835181,,,,,1.11907586,,,-48.81388102,1605.373702,3.299843169
